2018-05-16 11:41:00.826 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/manager/ds_list],produces=[application/json;charset=utf-8]}" onto public java.lang.Object com.ftoul.bi.etl.controller.DsDefController.dsList(int,int)
2018-05-16 11:41:00.826 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/manager/ds_stop],produces=[application/json;charset=utf-8]}" onto public java.lang.String com.ftoul.bi.etl.controller.DsDefController.stopSchedule(int)
2018-05-16 11:41:00.826 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/manager/ds_start],produces=[application/json;charset=utf-8]}" onto public java.lang.String com.ftoul.bi.etl.controller.DsDefController.startSchedue(int)
2018-05-16 11:41:00.826 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/manager/ds_refresh],produces=[application/json;charset=utf-8]}" onto public java.lang.String com.ftoul.bi.etl.controller.DsDefController.refreshDs()
2018-05-16 11:41:00.826 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/manager/ds_change_valid],produces=[application/json;charset=utf-8]}" onto public java.lang.String com.ftoul.bi.etl.controller.DsDefController.changeDsValid(java.lang.String,int)
2018-05-16 11:41:00.827 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/manager/ds_add],produces=[application/json;charset=utf-8]}" onto public java.lang.String com.ftoul.bi.etl.controller.DsDefController.dsAdd(com.ftoul.bi.etl.model.DsDef,java.lang.String)
2018-05-16 11:41:00.829 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/monitor/event_delete],produces=[application/json;charset=utf-8]}" onto public java.lang.String com.ftoul.bi.etl.controller.EventController.delete(java.lang.String)
2018-05-16 11:41:00.829 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/monitor/event_list],produces=[application/json;charset=utf-8]}" onto public java.lang.Object com.ftoul.bi.etl.controller.EventController.eventList()
2018-05-16 11:41:00.829 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/monitor/event_index]}" onto public java.lang.String com.ftoul.bi.etl.controller.EventController.eventIndex()
2018-05-16 11:41:00.829 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/monitor/event_add],produces=[application/json;charset=utf-8]}" onto public java.lang.Object com.ftoul.bi.etl.controller.EventController.addOrUpdate(com.ftoul.bi.etl.model.JobEvent)
2018-05-16 11:41:00.831 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index]}" onto public java.lang.String com.ftoul.bi.etl.controller.IndexCountroller.index(org.springframework.ui.Model)
2018-05-16 11:41:00.831 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/]}" onto public java.lang.String com.ftoul.bi.etl.controller.IndexCountroller.defaultIndex()
2018-05-16 11:41:00.831 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/ds],produces=[application/json;charset=utf-8]}" onto public java.lang.Object com.ftoul.bi.etl.controller.IndexCountroller.ds()
2018-05-16 11:41:00.831 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/topn],produces=[application/json;charset=utf-8]}" onto public java.lang.Object com.ftoul.bi.etl.controller.IndexCountroller.getTopN(int,int)
2018-05-16 11:41:00.832 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/getServerTime]}" onto public java.lang.String com.ftoul.bi.etl.controller.IndexCountroller.getServerTime()
2018-05-16 11:41:00.832 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/getRunTime],produces=[application/json;charset=utf-8]}" onto public java.lang.Object com.ftoul.bi.etl.controller.IndexCountroller.getRunTime()
2018-05-16 11:41:00.832 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/allJobs],produces=[application/json;charset=utf-8]}" onto public java.lang.Object com.ftoul.bi.etl.controller.IndexCountroller.allJobs()
2018-05-16 11:41:00.832 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/job],produces=[application/json;charset=utf-8]}" onto public java.lang.Object com.ftoul.bi.etl.controller.IndexCountroller.job()
2018-05-16 11:41:00.834 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/monitor/inst_index]}" onto public java.lang.String com.ftoul.bi.etl.controller.JobController.instIndex()
2018-05-16 11:41:00.834 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/monitor/inst_list],produces=[application/json;charset=utf-8]}" onto public java.lang.String com.ftoul.bi.etl.controller.JobController.instList(com.ftoul.bi.etl.model.JobInst,int,int)
2018-05-16 11:41:00.834 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/monitor/inst_log]}" onto public java.lang.String com.ftoul.bi.etl.controller.JobController.instLog(int,org.springframework.ui.Model)
